Epoch,loss,binary_accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_binary_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,freezed_layer
0,0.4102015197277069,0.8145620226860046,0.8952757716178894,2148.0,2148.0,489.0,489.0,0.5644170045852661,0.8060606122016907,0.8875240683555603,532.0,532.0,128.0,128.0,85
1,0.2987517714500427,0.8657565712928772,0.9460223317146301,2283.0,2283.0,354.0,354.0,0.5872758626937866,0.8378787636756897,0.9071189165115356,553.0,553.0,107.0,107.0,85
2,0.22248411178588867,0.8976109027862549,0.9697673916816711,2367.0,2367.0,270.0,270.0,0.3632090389728546,0.8621212244033813,0.9361157417297363,569.0,569.0,91.0,91.0,85
3,0.2046821266412735,0.9116420149803162,0.9743353724479675,2404.0,2404.0,233.0,233.0,0.33456024527549744,0.8757575750350952,0.948836088180542,578.0,578.0,82.0,82.0,85
4,0.19738510251045227,0.912400484085083,0.976141631603241,2406.0,2406.0,231.0,231.0,0.3370935618877411,0.8545454740524292,0.9370638728141785,564.0,564.0,96.0,96.0,85
5,0.15208448469638824,0.937808096408844,0.9857696294784546,2473.0,2473.0,164.0,164.0,0.3657967448234558,0.842424213886261,0.9360560178756714,556.0,556.0,104.0,104.0,85
6,0.13222013413906097,0.9442548155784607,0.9893671870231628,2490.0,2490.0,147.0,147.0,0.42256447672843933,0.8575757741928101,0.9320305585861206,566.0,566.0,94.0,94.0,85
7,0.11571535468101501,0.9548729658126831,0.9909189343452454,2518.0,2518.0,119.0,119.0,0.46019628643989563,0.8590909242630005,0.9349232912063599,567.0,567.0,93.0,93.0,85
8,0.07359485328197479,0.9708001613616943,0.9961411952972412,2560.0,2560.0,77.0,77.0,0.7000933289527893,0.8545454740524292,0.9130440354347229,564.0,564.0,96.0,96.0,85
9,0.0784086212515831,0.9670079350471497,0.995855987071991,2550.0,2550.0,87.0,87.0,0.41204315423965454,0.8681818246841431,0.9408700466156006,573.0,573.0,87.0,87.0,85
0,0.407053142786026,0.8179749846458435,0.898719072341919,2157.0,2157.0,480.0,480.0,1.0555500984191895,0.75,0.8322130441665649,495.0,495.0,165.0,165.0,90
1,0.30083778500556946,0.8600682616233826,0.9451101422309875,2268.0,2268.0,369.0,369.0,0.3270662724971771,0.8530303239822388,0.9395534992218018,563.0,563.0,97.0,97.0,90
2,0.24572394788265228,0.8866135478019714,0.9625486135482788,2338.0,2338.0,299.0,299.0,0.3381555378437042,0.8575757741928101,0.9427549839019775,566.0,566.0,94.0,94.0,90
3,0.19307255744934082,0.9184679388999939,0.9773181676864624,2422.0,2422.0,215.0,215.0,0.31859561800956726,0.8606060743331909,0.945532500743866,568.0,568.0,92.0,92.0,90
4,0.17658640444278717,0.9226393699645996,0.9807949662208557,2433.0,2433.0,204.0,204.0,0.41509875655174255,0.8454545736312866,0.934276819229126,558.0,558.0,102.0,102.0,90
5,0.14572955667972565,0.9450132846832275,0.9866557121276855,2492.0,2492.0,145.0,145.0,0.4926489591598511,0.846969723701477,0.9227938652038574,559.0,559.0,101.0,101.0,90
6,0.1266169399023056,0.9472885727882385,0.9898664355278015,2498.0,2498.0,139.0,139.0,0.3118153512477875,0.8696969747543335,0.9510089755058289,574.0,574.0,86.0,86.0,90
7,0.08872807770967484,0.9673871994018555,0.9950489401817322,2551.0,2551.0,86.0,86.0,0.43989598751068115,0.8621212244033813,0.9364143013954163,569.0,569.0,91.0,91.0,90
8,0.11841064691543579,0.958665132522583,0.9908258318901062,2528.0,2528.0,109.0,109.0,0.5814164280891418,0.821212112903595,0.9117792248725891,542.0,542.0,118.0,118.0,90
9,0.06688150763511658,0.9776260852813721,0.996466875076294,2578.0,2578.0,59.0,59.0,0.41783714294433594,0.8818181753158569,0.9492252469062805,582.0,582.0,78.0,78.0,90
0,0.405923455953598,0.8073568344116211,0.8959136605262756,2129.0,2129.0,508.0,508.0,1.245292067527771,0.771212100982666,0.8395386338233948,509.0,509.0,151.0,151.0,95
1,0.2810676395893097,0.8782707452774048,0.9523438811302185,2316.0,2316.0,321.0,321.0,0.4255196750164032,0.8166666626930237,0.9103741645812988,539.0,539.0,121.0,121.0,95
2,0.23121429979801178,0.8983693718910217,0.9675633907318115,2369.0,2369.0,268.0,268.0,0.3610072433948517,0.8484848737716675,0.9334412217140198,560.0,560.0,100.0,100.0,95
3,0.20951169729232788,0.9108836054801941,0.9737487435340881,2402.0,2402.0,235.0,235.0,0.33001306653022766,0.8757575750350952,0.9451882839202881,578.0,578.0,82.0,82.0,95
4,0.16697198152542114,0.9294652938842773,0.9828844666481018,2451.0,2451.0,186.0,186.0,0.44696226716041565,0.8621212244033813,0.9343732595443726,569.0,569.0,91.0,91.0,95
5,0.13852402567863464,0.939704179763794,0.9880999326705933,2478.0,2478.0,159.0,159.0,0.7493493556976318,0.8242424130439758,0.8859618306159973,544.0,544.0,116.0,116.0,95
6,0.10952643305063248,0.956010639667511,0.9922489523887634,2521.0,2521.0,116.0,116.0,0.3944235146045685,0.8590909242630005,0.939451277256012,567.0,567.0,93.0,93.0,95
7,0.09936395287513733,0.9654911160469055,0.9933211803436279,2546.0,2546.0,91.0,91.0,0.49916183948516846,0.8378787636756897,0.9217033386230469,553.0,553.0,107.0,107.0,95
8,0.07790688425302505,0.9745923280715942,0.9961062669754028,2570.0,2570.0,67.0,67.0,0.5320478677749634,0.846969723701477,0.9240174293518066,559.0,559.0,101.0,101.0,95
9,0.07421907782554626,0.9723170399665833,0.9960901737213135,2564.0,2564.0,73.0,73.0,0.518042802810669,0.8393939137458801,0.9225390553474426,554.0,554.0,106.0,106.0,95
0,0.4034435451030731,0.8130451440811157,0.8987308740615845,2144.0,2144.0,493.0,493.0,0.3150523900985718,0.8484848737716675,0.9394502639770508,560.0,560.0,100.0,100.0,100
1,0.26776760816574097,0.8794084191322327,0.9556739330291748,2319.0,2319.0,318.0,318.0,0.572126030921936,0.8454545736312866,0.9192458987236023,558.0,558.0,102.0,102.0,100
2,0.23162248730659485,0.8983693718910217,0.9671780467033386,2369.0,2369.0,268.0,268.0,0.3593291640281677,0.8803030252456665,0.942184329032898,581.0,581.0,79.0,79.0,100
3,0.18819156289100647,0.9161926507949829,0.9782650470733643,2416.0,2416.0,221.0,221.0,0.4133446514606476,0.8772727251052856,0.9403007626533508,579.0,579.0,81.0,81.0,100
4,0.15869256854057312,0.935912013053894,0.9843825101852417,2468.0,2468.0,169.0,169.0,0.34851306676864624,0.8712121248245239,0.9457048177719116,575.0,575.0,85.0,85.0,100
5,0.1532333940267563,0.9362912178039551,0.9857408404350281,2469.0,2469.0,168.0,168.0,0.3319820463657379,0.8757575750350952,0.953883171081543,578.0,578.0,82.0,82.0,100
6,0.10763074457645416,0.9567690491676331,0.9922483563423157,2523.0,2523.0,114.0,114.0,0.28734636306762695,0.8818181753158569,0.9546797275543213,582.0,582.0,78.0,78.0,100
7,0.1058960109949112,0.9601820111274719,0.9932588934898376,2532.0,2532.0,105.0,105.0,0.5165053606033325,0.8636363744735718,0.9328053593635559,570.0,570.0,90.0,90.0,100
8,0.08458536863327026,0.9711793661117554,0.9950113892555237,2561.0,2561.0,76.0,76.0,0.48612743616104126,0.8803030252456665,0.9434951543807983,581.0,581.0,79.0,79.0,100
9,0.06593313813209534,0.9761092066764832,0.9970332980155945,2574.0,2574.0,63.0,63.0,0.4875911474227905,0.8666666746139526,0.9331405758857727,572.0,572.0,88.0,88.0,100
0,0.4082067310810089,0.8134243488311768,0.8966740965843201,2145.0,2145.0,492.0,492.0,0.4455907642841339,0.8181818127632141,0.921058177947998,540.0,540.0,120.0,120.0,105
1,0.2793305516242981,0.8691695332527161,0.9529130458831787,2292.0,2292.0,345.0,345.0,0.3837181627750397,0.8075757622718811,0.9139015674591064,533.0,533.0,127.0,127.0,105
2,0.23390458524227142,0.8972316980361938,0.9667332172393799,2366.0,2366.0,271.0,271.0,0.34488433599472046,0.8621212244033813,0.9415839314460754,569.0,569.0,91.0,91.0,105
3,0.1981424242258072,0.914296567440033,0.9759379625320435,2411.0,2411.0,226.0,226.0,0.3623374104499817,0.8530303239822388,0.9346854090690613,563.0,563.0,97.0,97.0,105
4,0.15542589128017426,0.9324990510940552,0.985224187374115,2459.0,2459.0,178.0,178.0,0.4505698084831238,0.8575757741928101,0.9344089031219482,566.0,566.0,94.0,94.0,105
5,0.14484821259975433,0.9431172013282776,0.9870405793190002,2487.0,2487.0,150.0,150.0,0.3783639073371887,0.8393939137458801,0.9361167550086975,554.0,554.0,106.0,106.0,105
6,0.11516819149255753,0.9522184133529663,0.991632342338562,2511.0,2511.0,126.0,126.0,0.46868789196014404,0.8666666746139526,0.9337202310562134,572.0,572.0,88.0,88.0,105
7,0.10659853368997574,0.9590443968772888,0.992215096950531,2529.0,2529.0,108.0,108.0,0.4405204653739929,0.8636363744735718,0.9370615482330322,570.0,570.0,90.0,90.0,105
8,0.09671108424663544,0.9658703207969666,0.9938367009162903,2547.0,2547.0,90.0,90.0,0.3709164559841156,0.8772727251052856,0.9522406458854675,579.0,579.0,81.0,81.0,105
9,0.06468129903078079,0.9757300019264221,0.9971887469291687,2573.0,2573.0,64.0,64.0,0.5025548934936523,0.8742424249649048,0.9361557960510254,577.0,577.0,83.0,83.0,105
0,0.40036943554878235,0.8141827583312988,0.900834321975708,2147.0,2147.0,490.0,490.0,0.41325628757476807,0.8257575631141663,0.9121556878089905,545.0,545.0,115.0,115.0,110
